p,w,s,base,best,gain
0.20,044,016,2.473705,0.632787,0.255805
0.25,044,015,1.981247,0.609695,0.307733
0.30,044,015,1.654606,0.594743,0.359447
0.35,044,032,1.419921,0.583237,0.410753
0.40,044,032,1.245159,0.573223,0.460361
0.45,044,032,1.103191,0.565375,0.512490
0.50,044,032,0.995722,0.559586,0.561991
0.05,045,017,9.629652,1.421088,0.147574
0.10,045,017,4.885451,0.777823,0.159212
0.15,045,015,3.286433,0.669864,0.203827
0.20,045,015,2.473705,0.628411,0.254036
0.25,045,017,1.981247,0.605216,0.305472
0.30,045,017,1.654606,0.591460,0.357463
0.35,045,017,1.419921,0.580873,0.409088
0.40,045,017,1.245159,0.572523,0.459799
0.45,045,028,1.103191,0.565862,0.512933
0.50,045,028,0.995722,0.559541,0.561945
0.05,046,012,9.629652,1.370453,0.142316
0.10,046,014,4.885451,0.764684,0.156523
0.15,046,014,3.286433,0.667917,0.203235
0.20,046,023,2.473705,0.628089,0.253906
0.25,046,023,1.981247,0.605807,0.305771
0.30,046,023,1.654606,0.590937,0.357147
0.35,046,023,1.419921,0.579924,0.408420
0.40,046,023,1.245159,0.571329,0.458840
0.45,046,023,1.103191,0.564675,0.511856
0.50,046,023,0.995722,0.558672,0.561072
0.05,047,012,9.629652,1.353412,0.140546
0.10,047,012,4.885451,0.754973,0.154535
0.15,047,012,3.286433,0.663144,0.201782
0.20,047,018,2.473705,0.624427,0.252426
0.25,047,018,1.981247,0.601068,0.303379
0.30,047,023,1.654606,0.588095,0.355429
0.35,047,023,1.419921,0.576561,0.406052
0.40,047,023,1.245159,0.568237,0.456357
0.45,047,023,1.103191,0.561307,0.508804
0.50,047,023,0.995722,0.555492,0.557879
0.05,048,012,9.629652,1.329792,0.138093
0.10,048,012,4.885451,0.752066,0.153940
0.15,048,012,3.286433,0.660239,0.200898
0.20,048,021,2.473705,0.621559,0.251266
0.25,048,021,1.981247,0.600090,0.302885
0.30,048,021,1.654606,0.586794,0.354643
0.35,048,028,1.419921,0.576339,0.405895
0.40,048,028,1.245159,0.568220,0.456343
0.45,048,028,1.103191,0.561789,0.509240
0.50,048,028,0.995722,0.555611,0.557998
0.05,049,019,9.629652,1.325276,0.137625
0.10,049,010,4.885451,0.762352,0.156045
0.15,049,025,3.286433,0.661595,0.201311
0.20,049,025,2.473705,0.621725,0.251333
0.25,049,025,1.981247,0.601481,0.303587
0.30,049,025,1.654606,0.587592,0.355125
0.35,049,025,1.419921,0.576936,0.406315
0.40,049,025,1.245159,0.568251,0.456368
0.45,049,025,1.103191,0.561370,0.508861
0.50,049,025,0.995722,0.556075,0.558465
0.05,050,013,9.629652,1.288865,0.133843
0.10,050,010,4.885451,0.749591,0.153433
0.15,050,010,3.286433,0.658077,0.200241
0.20,050,025,2.473705,0.621343,0.251179
0.25,050,025,1.981247,0.599416,0.302545
0.30,050,025,1.654606,0.585199,0.353679
0.35,050,025,1.419921,0.574605,0.404674
0.40,050,025,1.245159,0.566456,0.454926
0.45,050,025,1.103191,0.559939,0.507563
0.50,050,025,0.995722,0.554827,0.557211
